L2_orth,L2_latin,L2_en,L2_link,L2_ipa,L2_occurences,L2_certainty,L2_reconstructedness,L2_pos
𐌰𐌲𐌲𐍅e𐌹,aggwei,"narrowness, restriction",https://koeblergerhard.de/wikiling/?f=got&page=6,aɡɡwi,0,uncertain,word,"F., n"
𐌰𐌲𐌲𐍅𐌹𐌸𐌰,aggwiþa,"affliction, trouble, plight, anxiety, distress",https://koeblergerhard.de/wikiling/?f=got&page=6,aɡɡwɪθa,5,certain,not_reconstructed,"F., n"
𐌰𐌲𐌲𐍅𐌾𐌰𐌽,aggwjan,"constrain, cramp_completely",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡɡwj,0,uncertain,word,"V., v"
𐌰𐌲𐌲𐍅𐌿𐍃,aggwus,narrow,https://koeblergerhard.de/wikiling/?f=got&page=7,aɡɡwus,2,certain,form,"Adj., a"
𐌰𐌲𐌹,agi,"blade, edge, point, sharpness, sword",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣɪ,0,certain,word,"F., n"
𐌰𐌲𐌾𐌰,agja,"blade, edge, point, sharpness, sword",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣja,0,certain,word,"F., n"
𐌰𐌲𐌹𐍃,agis,"awe, fear, fright, terror",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣɪs,20,certain,not_reconstructed,"N., n"
𐌰𐌲𐌾𐌰𐌽,agjan,"frighten, worry",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣj,0,uncertain,word,"V., v"
𐌰𐌲𐌺𐌾𐌰,agkja,"leg, pipe, tube",https://koeblergerhard.de/wikiling/?f=got&page=7,aŋkja,0,uncertain,word,"F., n"
𐌰𐌲𐌻𐌰𐌹𐍄e𐌹,aglaitei,"licentiousness, debauchery",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛti,54,certain,not_reconstructed,"F., n"
𐌰𐌲𐌻𐌰𐌹𐍄e𐌹𐍃,aglaiteis,"lewd, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtis,0,certain,word,"Adj., a"
𐌰𐌲𐌻𐌰𐌹𐍄𐍃,aglaits,"lewd, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛts,0,uncertain,word,"Adj., a"
𐌰𐌲𐌻𐌰𐌹𐍄𐌲𐌰𐍃𐍄𐌰𐌻𐌳𐍃,aglaitgastalds,"acquisitive, grasping, shamefully_greedy",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtɡastalds,2,certain,not_reconstructed,"Adj., a"
𐌰𐌲𐌻𐌰𐌹𐍄𐌹,aglaiti,"debauchery, licentiousness, dissipation",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtɪ,2,certain,form,"N., n"
𐌰𐌲𐌻𐌰𐌹𐍄𐌹𐍅𐌰𐌿𐍂𐌳e𐌹,aglaitiwáurdei,"obscene_language, foul_language, shameful_speech, filthy_talk",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɛtɪwɔrdi,2,certain,form,"F., n"
