New_orth,Old_orth,Lan,New,Old
szomjú,śomɜ,FU,somjuː,ʃʲomͽ
téved,tepɜ,Ug,teːvɛd,tepͽ
vejsze,waja,FU,vɛjsɛ,wɑjɑ
lepke,lȣ̈ppɜ,U,lɛpkɛ,lȣ̈ppͽ
lapos,lappɜ,U,lɒpoʃ,lɑppͽ
szurok,śurɜ,FU,surok,ʃʲurͽ
fulánk,pulɜ,Ug,fulaːnk,pulͽ
köved,keje,FU,køvɛd,keje
kevés,kepä,FU,kɛveːʃ,kepæ
hattyú,kottɜŋɜ,Ug,hɒcːuː,kottͽŋͽ
kemény,kämä,FU,kɛmeːɲ,kæmæ
szalu,sȣlkɜ,Ug,sɒlu,sȣlkͽ
vékony,wekkɜ,FU,veːkoɲ,wekkͽ
meztelen,mećɜ,Ug,mɛztɛlɛn,met͡ʃʲͽ
menyül,menɜ,Ug,mɛɲyl,menͽ
száldok,śaĺɜ,Ug,saːldok,ʃʲɑlʲͽ
alom,alama,Ug,ɒlom,ɑlɑmɑ
hanyatt,konɜCx,FU,hɒɲɒtː,konͽcx
gyalu,jȣrɜ,Ug,ɟɒlu,jȣrͽ
sápad,čappɜ,FU,ʃaːpɒd,t͡ʃɑppͽ
fogoly,piŋe,U,foɡoj,piŋe
csomó,ćolme,FU,t͡ʃomoː,t͡ʃʲolme
tekint,täkkɜ,Ug,tɛkint,tækkͽ
daru,tarɜkɜ,FU,dɒru,tɑrͽkͽ
gyalog,jalka,FU,ɟɒloɡ,jɑlkɑ
három,kolme,FU,haːrom,kolme
tavasz,towkɜ,FU,tɒvɒs,towkͽ
virrad,warɜ,FU,virːɒd,wɑrͽ
bogyó,pola,FU,boɟoː,polɑ
csorog,ćorɜ,U,t͡ʃoroɡ,t͡ʃʲorͽ
követ,kijɜ,FU,køvɛt,kijͽ
lélek,lewlɜ,FU,leːlɛk,lewlͽ
nyirok,ńorɜ,U,ɲirok,nʲorͽ
köles,kȣ̈lɜ,Ug,kølɛʃ,kȣ̈lͽ
savanyú,čawɜ,Ug,ʃɒvɒɲuː,t͡ʃɑwͽ
mogyoró,muna,U,moɟoroː,munɑ
szorul,śorɜ,FU,sorul,ʃʲorͽ
kesered,kȣ̈ćɜ,Ug,kɛʃɛrɛd,kȣ̈t͡ʃʲͽ
nyereg,närkɜ,Ug,ɲɛrɛɡ,nærkͽ
táltos,tultɜ,Ug,taːltoʃ,tultͽ
eper,äppɜrɜkɜ,Ug,ɛpɛr,æppͽrͽkͽ
könyök,kińä,FU,køɲøk,kinʲæ
sovány,čupa,FU,ʃovaːɲ,t͡ʃupɑ
levél,lȣ̈pɜ,Ug,lɛveːl,lȣ̈pͽ
vigyáz,wića,FU,viɟaːz,wit͡ʃʲɑ
vöcsök,wajće,FU,vøt͡ʃøk,wɑjt͡ʃʲe
kísér,kećɜ,Ug,kiːʃeːr,ket͡ʃʲͽ
csegely,čeŋkɜ,FU,t͡ʃɛɡɛj,t͡ʃeŋkͽ
csókol,ćukkɜ,Ug,t͡ʃoːkol,t͡ʃʲukkͽ
csupor,ćuppɜ,FU,t͡ʃupor,t͡ʃʲuppͽ
szürügy,śarɜ,U,syryɟ,ʃʲɑrͽ
süpped,čeppɜ,Ug,ʃypːɛd,t͡ʃeppͽ
köszörül,kȣ̈sɜ,Ug,køsøryl,kȣ̈sͽ
rokon,rakka,FU,rokon,rɑkkɑ
csillog,ćȣlkɜ,FU,t͡ʃilːoɡ,t͡ʃʲȣlkͽ
gyakori,jowkkɜ,FU,ɟɒkori,jowkkͽ
bonyolód,puńa,FU,boɲoloːd,punʲɑ
nevet,mȣ̈kɜ,Ug,nɛvɛt,mȣ̈kͽ
rokkan,rȣkkɜ,Ug,rokːɒn,rȣkkͽ
sötét,čettɜ,Ug,ʃøteːt,t͡ʃettͽ
szilánk,śale,FU,silaːnk,ʃʲɑle
szédül,sȣjɜ,Ug,seːdyl,sȣjͽ
száguld,sȣŋɜ,Ug,saːɡuld,sȣŋͽ
ravasz,repä,FU,rɒvɒs,repæ
fekete,pȣ̈kkɜttɜ,Ug,fɛkɛtɛ,pȣ̈kkͽttͽ
ér,särɜ,FU,eːr,særͽ
ár,ϑarɜ,Ug,aːr,θɑrͽ
ér,šärɜ,FU,eːr,ʃærͽ
ér,šerɜ,FU,eːr,ʃerͽ
áll,salkɜ,FU,aːlː,sɑlkͽ
agg,soŋkɜ,FU,ɒɡː,soŋkͽ
ujj,suδ̕ɜ,U,ujː,suðʲͽ
