Original,Orth,en,de,type,type.1,IPA,split,proto,protouew
busa,bus,carp,Karpfen,N,,buʃ,b¹u³ʃ³∅²,put͡ʃʲe (6.5); pȣʃʲke (6.5); puʃʲke (6.25); pȣt͡ʃʲe (6.25); pot͡ʃʲe (6.25); poʃʲke (6.25); put͡ʃʲɜ (5.75); put͡ʃʲa (5.75); pȣʃʲkɜ (5.75); pȣʃʲka (5.75); puʃʲkɜ (5.5); puʃʲka (5.5); pȣt͡ʃʲɜ (5.5); pȣt͡ʃʲa (5.5); pot͡ʃʲɜ (5.5); pot͡ʃʲa (5.5); poʃʲkɜ (5.5); poʃʲka (5.5); put͡ʃʲæ (3.25); pȣʃʲkæ (3.25); puʃʲkæ (3.0); pȣt͡ʃʲæ (3.0); pot͡ʃʲæ (3.0); poʃʲkæ (3.0),puće (6.5); pȣšʲke (6.5); pušʲke (6.25); pȣće (6.25); poće (6.25); pošʲke (6.25); pućɜ (5.75); puća (5.75); pȣšʲkɜ (5.75); pȣšʲka (5.75); pušʲkɜ (5.5); pušʲka (5.5); pȣćɜ (5.5); pȣća (5.5); poćɜ (5.5); poća (5.5); pošʲkɜ (5.5); pošʲka (5.5); pućä (3.25); pȣšʲkä (3.25); pušʲkä (3.0); pȣćä (3.0); poćä (3.0); pošʲkä (3.0)
busa,bu,carp,Karpfen,N,,bu,b¹u²,pɜ (1.5),pɜ (1.5)
buta,but,silly,albern,Adj,,but,b¹u³t³∅²,putte (7.75); puttɜ (7.0); putta (7.0); putke (6.25); pukte (6.25); pȣtte (6.25); pȣtke (6.25); pȣkte (6.25); potte (6.25); potke (6.25); pokte (6.25); putkɜ (5.5); putka (5.5); puktɜ (5.5); pukta (5.5); pȣttɜ (5.5); pȣtta (5.5); pȣtkɜ (5.5); pȣtka (5.5); pȣktɜ (5.5); pȣkta (5.5); pottɜ (5.5); potta (5.5); potkɜ (5.5); potka (5.5); poktɜ (5.5); pokta (5.5); puttæ (4.5); putkæ (3.0); puktæ (3.0); pȣttæ (3.0); pȣtkæ (3.0); pȣktæ (3.0); pottæ (3.0); potkæ (3.0); poktæ (3.0),putte (7.75); puttɜ (7.0); putta (7.0); putke (6.25); pukte (6.25); pȣtte (6.25); pȣtke (6.25); pȣkte (6.25); potte (6.25); potke (6.25); pokte (6.25); putkɜ (5.5); putka (5.5); puktɜ (5.5); pukta (5.5); pȣttɜ (5.5); pȣtta (5.5); pȣtkɜ (5.5); pȣtka (5.5); pȣktɜ (5.5); pȣkta (5.5); pottɜ (5.5); potta (5.5); potkɜ (5.5); potka (5.5); poktɜ (5.5); pokta (5.5); puttä (4.5); putkä (3.0); puktä (3.0); pȣttä (3.0); pȣtkä (3.0); pȣktä (3.0); pottä (3.0); potkä (3.0); poktä (3.0)
buta,bu,silly,albern,Adj,,bu,b¹u²,pɜ (1.5),pɜ (1.5)
céda,céd,prostitute,Prostituierte,N,,t͡seːd,t͡s¹e³d³∅²,'t͡s¹' can't be from Uralic,'t͡s¹' can't be from Uralic
céda,cé,prostitute,Prostituierte,N,,t͡seː,t͡s¹e²,'t͡s¹' can't be from Uralic,'t͡s¹' can't be from Uralic
cimpa,cimp,earlobe,Ohrläppchen,N,,t͡simp,t͡s¹i³mp³∅²,"'t͡s¹' can't be from Uralic, 'mp³' can't be from Uralic","'t͡s¹' can't be from Uralic, 'mp³' can't be from Uralic"
cimpa,cim,earlobe,Ohrläppchen,N,,t͡sim,t͡s¹i³m³∅²,'t͡s¹' can't be from Uralic,'t͡s¹' can't be from Uralic
csak,csa,just,nur,Rest,,t͡ʃɒ,t͡ʃ¹ɒ²,"'t͡ʃ¹' can't be from Uralic, 'ɒ²' can't be from Uralic","'t͡ʃ¹' can't be from Uralic, 'ɒ²' can't be from Uralic"
csal,csa,cheat,betrügen,V,,t͡ʃɒ,t͡ʃ¹ɒ²,"'t͡ʃ¹' can't be from Uralic, 'ɒ²' can't be from Uralic","'t͡ʃ¹' can't be from Uralic, 'ɒ²' can't be from Uralic"
csarnok,csarno,hall,Halle,N,,t͡ʃɒrno,t͡ʃ¹ɒ³rn³o²,"'t͡ʃ¹' can't be from Uralic, 'rn³' can't be from Uralic","'t͡ʃ¹' can't be from Uralic, 'rn³' can't be from Uralic"
csarnok,csarn,hall,Halle,N,,t͡ʃɒrn,t͡ʃ¹ɒ³rn³∅²,"'t͡ʃ¹' can't be from Uralic, 'rn³' can't be from Uralic","'t͡ʃ¹' can't be from Uralic, 'rn³' can't be from Uralic"
csarnok,csar,hall,Halle,N,,t͡ʃɒr,t͡ʃ¹ɒ³r³∅²,'t͡ʃ¹' can't be from Uralic,'t͡ʃ¹' can't be from Uralic
csen,cse,steal sth small,stibitzen,V,,t͡ʃɛ,t͡ʃ¹ɛ²,'t͡ʃ¹' can't be from Uralic,'t͡ʃ¹' can't be from Uralic
csüd,csü,pastern,Fessel,N,,t͡ʃy,t͡ʃ¹y²,"'t͡ʃ¹' can't be from Uralic, 'y²' can't be from Uralic","'t͡ʃ¹' can't be from Uralic, 'y²' can't be from Uralic"
csüng,csün,cling,hängen,V,,t͡ʃyn,t͡ʃ¹y³n³∅²,'t͡ʃ¹' can't be from Uralic,'t͡ʃ¹' can't be from Uralic
csupa,csup,full,voll,Rest,,t͡ʃup,t͡ʃ¹u³p³∅²,'t͡ʃ¹' can't be from Uralic,'t͡ʃ¹' can't be from Uralic
csupa,csu,full,voll,Rest,,t͡ʃu,t͡ʃ¹u²,'t͡ʃ¹' can't be from Uralic,'t͡ʃ¹' can't be from Uralic
délceg,délce,dashing,schneidig,Adj,,deːlt͡sɛ,d¹e³lt͡s³ɛ²,"'d¹' can't be from Uralic, 'lt͡s³' can't be from Uralic","'d¹' can't be from Uralic, 'lt͡s³' can't be from Uralic"
denevér,denevé,bat,Fledermaus,N,,dɛnɛveː,d¹ɛ³n³ɛ³v³e²,'d¹' can't be from Uralic,'d¹' can't be from Uralic
dér,dé,rime,Raureif,N,,deː,d¹e²,'d¹' can't be from Uralic,'d¹' can't be from Uralic
díj,dí,fee,Gebühr,N,,diː,d¹i²,'d¹' can't be from Uralic,'d¹' can't be from Uralic
dög,dö,carrion,Aas,N,,dø,d¹ø²,'d¹' can't be from Uralic,'d¹' can't be from Uralic
dudva,dudv,weed,Unkraut,N,,dudv,d¹u³dv³∅²,"'d¹' can't be from Uralic, 'dv³' can't be from Uralic","'d¹' can't be from Uralic, 'dv³' can't be from Uralic"
dudva,dud,weed,Unkraut,N,,dud,d¹u³d³∅²,'d¹' can't be from Uralic,'d¹' can't be from Uralic
dúl,dú,rages,wütet,V,,duː,d¹u²,'d¹' can't be from Uralic,'d¹' can't be from Uralic
durva,durv,rough,rau,Adj,,durv,d¹u³rv³∅²,"'d¹' can't be from Uralic, 'rv³' can't be from Uralic","'d¹' can't be from Uralic, 'rv³' can't be from Uralic"
durva,dur,rough,rau,Adj,,dur,d¹u³r³∅²,'d¹' can't be from Uralic,'d¹' can't be from Uralic
éger,ége,alder,Erle,N,,eːɡɛ,0¹e¹ɡ³ɛ²,jæŋɜ (4.75); 0eŋɜ (4.75); 0¨ŋɜ (4.75); jæŋa (4.5); 0eŋa (4.5); 0¨ŋa (4.5); jeŋɜ (4.0); j¨ŋɜ (4.0); 0æŋɜ (4.0); jeŋa (3.75); j¨ŋa (3.75); 0æŋa (3.75); sæŋɜ (2.25); meŋɜ (2.25); m¨ŋɜ (2.25); ʃeŋɜ (2.0); ʃ¨ŋɜ (2.0); sæŋa (2.0); meŋa (2.0); m¨ŋa (2.0); ʃeŋa (1.75); ʃ¨ŋa (1.75); seŋɜ (1.5); s¨ŋɜ (1.5); mæŋɜ (1.5); ʃæŋɜ (1.25); seŋa (1.25); s¨ŋa (1.25); mæŋa (1.25); ʃæŋa (1.0),jäŋɜ (4.75); 0eŋɜ (4.75); 0¨ŋɜ (4.75); jäŋa (4.5); 0eŋa (4.5); 0¨ŋa (4.5); jeŋɜ (4.0); j¨ŋɜ (4.0); 0äŋɜ (4.0); jeŋa (3.75); j¨ŋa (3.75); 0äŋa (3.75); säŋɜ (2.25); meŋɜ (2.25); m¨ŋɜ (2.25); šeŋɜ (2.0); š¨ŋɜ (2.0); säŋa (2.0); meŋa (2.0); m¨ŋa (2.0); šeŋa (1.75); š¨ŋa (1.75); seŋɜ (1.5); s¨ŋɜ (1.5); mäŋɜ (1.5); šäŋɜ (1.25); seŋa (1.25); s¨ŋa (1.25); mäŋa (1.25); šäŋa (1.0)
ép,é,intact,intakt,Adj,,eː,0¹e¹²,'²' can't be from Uralic,'²' can't be from Uralic
épít,épí,build,Build,V,,eːpiː,0¹e¹p³i²,jepp¨ (4.25); j¨pp¨ (4.25); 0æpp¨ (4.25); jeppɜ (4.0); jæpp¨ (4.0); j¨ppɜ (4.0); 0epp¨ (4.0); 0æppɜ (4.0); 0¨pp¨ (4.0); jæppɜ (3.75); 0eppɜ (3.75); 0¨ppɜ (3.75); sepp¨ (1.75); s¨pp¨ (1.75); mæpp¨ (1.75); ʃæpp¨ (1.5); seppɜ (1.5); sæpp¨ (1.5); s¨ppɜ (1.5); mepp¨ (1.5); mæppɜ (1.5); m¨pp¨ (1.5); ʃepp¨ (1.25); ʃæppɜ (1.25); ʃ¨pp¨ (1.25); sæppɜ (1.25); meppɜ (1.25); m¨ppɜ (1.25); ʃeppɜ (1.0); ʃ¨ppɜ (1.0),jepp¨ (4.25); j¨pp¨ (4.25); 0äpp¨ (4.25); jeppɜ (4.0); jäpp¨ (4.0); j¨ppɜ (4.0); 0epp¨ (4.0); 0äppɜ (4.0); 0¨pp¨ (4.0); jäppɜ (3.75); 0eppɜ (3.75); 0¨ppɜ (3.75); sepp¨ (1.75); s¨pp¨ (1.75); mäpp¨ (1.75); šäpp¨ (1.5); seppɜ (1.5); säpp¨ (1.5); s¨ppɜ (1.5); mepp¨ (1.5); mäppɜ (1.5); m¨pp¨ (1.5); šepp¨ (1.25); šäppɜ (1.25); š¨pp¨ (1.25); säppɜ (1.25); meppɜ (1.25); m¨ppɜ (1.25); šeppɜ (1.0); š¨ppɜ (1.0)
erkölcs,erköl,moral,Moral,N,,ɛrkøl,0¹ɛ¹rk³ø³l³∅²,'rk³' can't be from Uralic,'rk³' can't be from Uralic
eszköz,eszkö,device,Mittel,N,,ɛskø,0¹ɛ¹sk³ø²,'sk³' can't be from Uralic,'sk³' can't be from Uralic
fedd,fed,reprove,tadeln,V,,fɛd,f¹ɛ³d³∅²,ponte (10.75); pewe (10.75); p¨we (10.75); p¨mte (10.75); powe (10.5); pomte (10.5); pemte (10.5); pænte (10.5); pæmte (10.5); p¨nte (10.5); pente (10.25); pæwe (10.25); pontɜ (10.0); ponta (10.0); pewɜ (10.0); pewa (10.0); p¨wɜ (10.0); p¨wa (10.0); p¨mtɜ (10.0); p¨mta (10.0); powɜ (9.75); powa (9.75); pomtɜ (9.75); pomta (9.75); pemtɜ (9.75); pemta (9.75); pæntɜ (9.75); pænta (9.75); pæmtɜ (9.75); pæmta (9.75); p¨ntɜ (9.75); p¨nta (9.75); pentɜ (9.5); penta (9.5); pæwɜ (9.5); pæwa (9.5); pontæ (7.5); pewæ (7.5); p¨wæ (7.5); p¨mtæ (7.5); powæ (7.25); pomtæ (7.25); pemtæ (7.25); pæntæ (7.25); pæmtæ (7.25); p¨ntæ (7.25); pentæ (7.0); pæwæ (7.0),ponte (10.75); pewe (10.75); p¨we (10.75); p¨mte (10.75); powe (10.5); pomte (10.5); pemte (10.5); pänte (10.5); pämte (10.5); p¨nte (10.5); pente (10.25); päwe (10.25); pontɜ (10.0); ponta (10.0); pewɜ (10.0); pewa (10.0); p¨wɜ (10.0); p¨wa (10.0); p¨mtɜ (10.0); p¨mta (10.0); powɜ (9.75); powa (9.75); pomtɜ (9.75); pomta (9.75); pemtɜ (9.75); pemta (9.75); päntɜ (9.75); pänta (9.75); pämtɜ (9.75); pämta (9.75); p¨ntɜ (9.75); p¨nta (9.75); pentɜ (9.5); penta (9.5); päwɜ (9.5); päwa (9.5); pontä (7.5); pewä (7.5); p¨wä (7.5); p¨mtä (7.5); powä (7.25); pomtä (7.25); pemtä (7.25); päntä (7.25); pämtä (7.25); p¨ntä (7.25); pentä (7.0); päwä (7.0)
függ,füg,hang,hängen,V,,fyɡ,f¹y³ɡ³∅²,piŋe (11.0); pæŋe (11.0); p¨ŋe (11.0); piŋɜ (10.25); piŋa (10.25); pɜŋe (10.25); pæŋɜ (10.25); pæŋa (10.25); paŋe (10.25); p¨ŋɜ (10.25); p¨ŋa (10.25); pɜŋɜ (9.5); pɜŋa (9.5); paŋɜ (9.5); paŋa (9.5); piŋæ (7.75); pæŋæ (7.75); p¨ŋæ (7.75); pɜŋæ (7.0); paŋæ (7.0),piŋe (11.0); päŋe (11.0); p¨ŋe (11.0); piŋɜ (10.25); piŋa (10.25); pɜŋe (10.25); päŋɜ (10.25); päŋa (10.25); paŋe (10.25); p¨ŋɜ (10.25); p¨ŋa (10.25); pɜŋɜ (9.5); pɜŋa (9.5); paŋɜ (9.5); paŋa (9.5); piŋä (7.75); päŋä (7.75); p¨ŋä (7.75); pɜŋä (7.0); paŋä (7.0)
