Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old,Vchanges
lapos,lappɜ,U,,,,lɒpoʃ,lappɜ,lɒpoʃ∅,lɒpoʃ∅,lappɜ,*a>ɒ³ *ɜ>o³
lép,läppɜ,FU,,"δäppɜ, leppɜ δeppɜ",,lep,læppɜ,lep∅,lep∅,læppɜ,*æ>e³ *ɜ>∅²
lë,le,FU,,,,le,le,le,le,le,*e>e²
lé,leme,FU,,lēme,,le,leme,le,le,leme,*e>e³ *e>∅³
lep,leppɜ,FU,,,,lɛp,leppɜ,lɛp∅,lɛp∅,leppɜ,*e>ɛ³ *ɜ>∅²
lő,lewe,FU,,,,lø,leβe,lø,lø,leβe,*e>ø³ *e>∅³
lélëk,lewlɜ,FU,,,,lelek,leβlɜ,lelek∅,lelek∅,leβlɜ,*e>e³ *ɜ>e³
lök,likkä,FU,,lükkä,,løk,likkæ,løk∅,løk∅,likkæ,*i>ø³ *æ>∅²
láng,lomɜ,FU,,lamɜ,,lanɡ,lomɜ,lanɡ∅,lanɡ∅,lomɜ,*o>a³ *ɜ>∅²
lágy,lońća,FU,,,,laɟ,loɲt͡ʃʲa,laɟ∅,laɟ∅,lonʲt͡ʃʲa,*o>a³ *a>∅²
lóg,loŋe,FU,,,,loɡ,loŋe,loɡ∅,loɡ∅,loŋe,*o>o³ *e>∅²
lúd,lunta,FU,,,,lud,lunta,lud∅,lud∅,lunta,*u>u³ *a>∅²
légy,lȣńćɜ,FU,,,,leɟ,lȣɲt͡ʃʲɜ,leɟ∅,leɟ∅,lȣnʲt͡ʃʲɜ,*ȣ>e³ *ɜ>∅²
láp,lȣppɜ,FU,,,,lap,lȣppɜ,lap∅,lap∅,lȣppɜ,*ȣ>a³ *ɜ>∅²
lepke,l¨ppɜ,U,,,,lɛpkɛ,l¨ppɜ,lɛpkɛ,lɛpkɛ,l¨ppɜ,*¨>ɛ³ *ɜ>ɛ²
levél,l¨pɜ,Ug,,lepɜ,,lɛvel,l¨pɜ,lɛvel∅,lɛvel∅,l¨pɜ,*¨>ɛ³ *ɜ>e³
máj,maksa,U,,,,maj,maksa,maj∅,maj∅,maksa,*a>a³ *a>∅²
ment,mänɜ,FU,,,,mɛnt,mænɜ,mɛnt∅,mɛnt∅,mænɜ,*æ>ɛ³ *ɜ>∅²
messze,mećä,FU,,,,mɛʃsɛ,met͡ʃʲæ,mɛʃsɛ,mɛʃsɛ,met͡ʃʲæ,*e>ɛ³ *æ>ɛ²
méh,mekše,FU,,,,meh,mekʃe,meh∅,meh∅,mekʃe,*e>e³ *e>∅²
mën,mene,U,,,,men,mene,men∅,men∅,mene,*e>e³ *e>∅²
méz,mete,FU,,,,mez,mete,mez∅,mez∅,mete,*e>e³ *e>∅²
mëny,mińä,U,,,,meɲ,miɲæ,meɲ∅,meɲ∅,minʲæ,*i>e³ *æ>∅²
mënny,mińɜ,FU,,,,menɲ,miɲɜ,menɲ∅,menɲ∅,minʲɜ,*i>e³ *ɜ>∅²
mëg,miŋä,FU,,müŋä,,meɡ,miŋæ,meɡ∅,meɡ∅,miŋæ,*i>e³ *æ>∅²
mëggy,moĺɜ,FU,,moδ'ɜ,,meɡɟ,moʎɜ,meɡɟ∅,meɡɟ∅,molʲɜ,*o>e³ *ɜ>∅²
más,mu,FU,,,,maʃ,mu,maʃ∅,maʃ∅,mu,*u>a³
múl,mulɜ,FU,,,,mul,mulɜ,mul∅,mul∅,mulɜ,*u>u³ *ɜ>∅²
mogyoró,muna,U,,,,moɟoro,muna,moɟoro,moɟoro,muna,*u>o³ *a>o³ *∅>o²
mag,muŋkɜ,FU,,,,mɒɡ,muŋkɜ,mɒɡ∅,mɒɡ∅,muŋkɜ,*u>ɒ³ *ɜ>∅²
mar,mura,U,,murɜ,,mɒr,mura,mɒr∅,mɒr∅,mura,*u>ɒ³ *a>∅²
mos,muśke,U,,mośke,,moʃ,muʃʲke,moʃ∅,moʃ∅,muʃʲke,*u>o³ *e>∅²
mál,mȣlɜ,FU,,"mȣljɜ, mȣlkɜ",,mal,mȣlɜ,mal∅,mal∅,mȣlɜ,*ȣ>a³ *ɜ>∅²
mar,mȣrɜ,U,,,,mɒr,mȣrɜ,mɒr∅,mɒr∅,mȣrɜ,*ȣ>ɒ³ *ɜ>∅²
én,m¨,U,,,,en,m¨,en∅,0en∅,m¨,*¨>e¹
mi,m¨,U,,,,mi,m¨,mi,mi,m¨,*¨>i²
mi,mɜ,U,,,,mi,mɜ,mi,mi,mɜ,*ɜ>i²
néz,näke,FU,,,,nez,næke,nez∅,nez∅,næke,*æ>e³ *e>∅²
nyél,niδe,U,,nüδe,,ɲel,niðe,ɲel∅,ɲel∅,niðe,*i>e³ *e>∅²
név,nime,U,,,,nev,nime,nev∅,nev∅,nime,*i>e³ *e>∅²
nő,niŋä,U,,,,nø,niŋæ,nø,nø,niŋæ,*i>ø³ *æ>∅³
nyújt,nȣjɜ,FU,,ńȣjɜ,,ɲujt,nȣjɜ,ɲujt∅,ɲujt∅,nȣjɜ,*ȣ>u³ *ɜ>∅²
nyelv,ńälmä,FU,,,,ɲɛlv,ɲælmæ,ɲɛlv∅,ɲɛlv∅,nʲælmæ,*æ>ɛ³ *æ>∅²
nyel,ńele,U,,ńēle,,ɲɛl,ɲele,ɲɛl∅,ɲɛl∅,nʲele,*e>ɛ³ *e>∅²
négy,ńeljä,FU,,neljä,,neɟ,ɲeljæ,neɟ∅,neɟ∅,nʲelhæ,*e>e³ *æ>∅²
nyíl,ńɤle,U,,ńōle,,ɲil,ɲɤle,ɲil∅,ɲil∅,nʲɤle,*ɤ>i³ *e>∅²
nyű,ńikɜ,U,,ńükɜ,,ɲy,ɲikɜ,ɲy,ɲy,nʲikɜ,*i>y³ *ɜ>∅³
nyal,ńole,U,,ńōle,,ɲɒl,ɲole,ɲɒl∅,ɲɒl∅,nʲole,*o>ɒ³ *e>∅²
nyúl,ńoma,U,,ńomalɜ,,ɲul,ɲoma,ɲul∅,ɲul∅,nʲoma,*o>u³ *a>∅²
nyirok,ńorɜ,U,,,,ɲirok,ɲorɜ,ɲirok∅,ɲirok∅,nʲorɜ,*o>i³ *ɜ>o³
nyuszt,ńukśe,FU,,ńukɜśɜ,,ɲust,ɲukʃʲe,ɲust∅,ɲust∅,nʲukʃʲe,*u>u³ *e>∅²
nyug,ńuŋɜ,FU,,,,ɲuɡ,ɲuŋɜ,ɲuɡ∅,ɲuɡ∅,nʲuŋɜ,*u>u³ *ɜ>∅²
nyír,ń¨rɜ,Ug,,"ńȣrɜ, ńȣrkɜ",,ɲir,ɲ¨rɜ,ɲir∅,ɲir∅,nʲ¨rɜ,*¨>i³ *ɜ>∅²
az,o,U,,u,,ɒz,o,ɒz∅,0ɒz∅,0o,*o>ɒ¹
ostor,oćtɜrɜ,Ug,,,,oʃtor,ot͡ʃʲtɜrɜ,oʃtor∅,0oʃtor∅,0ot͡ʃʲtɜrɜ,*o>o¹ *ɜ>o³ *ɜ>∅²
al,oδa,FU,,,,ɒl,oða,ɒl∅,0ɒl∅,0oða,*o>ɒ¹ *a>∅²
álom,oδamɜ,FU,,,,alom,oðamɜ,alom∅,0alom∅,0oðamɜ,*o>a¹ *a>o³ *ɜ>∅²
áll,olɜ,FW,,,,all,olɜ,all∅,0all∅,0olɜ,*o>a¹ *ɜ>∅²
agyar,ońćarɜ,FU,,,,ɒɟɒr,oɲt͡ʃʲarɜ,ɒɟɒr∅,0ɒɟɒr∅,0onʲt͡ʃʲarɜ,*o>ɒ¹ *a>ɒ³ *ɜ>∅²
ár,ora,FU,,,,ar,ora,ar∅,0ar∅,0ora,*o>a¹ *a>∅²
árva,orpa,FU,,"orpasɜ, orwa orwasɜ",,arvɒ,orpa,arvɒ,0arvɒ,0orpa,*o>a¹ *a>ɒ²
fal,paδɜ,FU,,,,fɒl,paðɜ,fɒl∅,fɒl∅,paðɜ,*a>ɒ³ *ɜ>∅²
fajd,paδ'tɜ,FU,,,,fɒjd,paðʲtɜ,fɒjd∅,fɒjd∅,paðʲtɜ,*a>ɒ³ *ɜ>∅²
fagyal,pajɜ,U,,,,fɒɟɒl,pajɜ,fɒɟɒl∅,fɒɟɒl∅,pajɜ,*a>ɒ³ *ɜ>ɒ³
fakad,pakka,FU,,,,fɒkɒd,pakka,fɒkɒd∅,fɒkɒd∅,pakka,*a>ɒ³ *a>ɒ³
fal,pala,U,,,,fɒl,pala,fɒl∅,fɒl∅,pala,*a>ɒ³ *a>∅²
falu,palγɜ,Ug,,,,fɒlu,palɣɜ,fɒlu,fɒlu,palɣɜ,*a>ɒ³ *ɜ>u²
fagy,paĺa,FU,,,,fɒɟ,paʎa,fɒɟ∅,fɒɟ∅,palʲa,*a>ɒ³ *a>∅²
farag,parɜ,U,,,,fɒrɒɡ,parɜ,fɒrɒɡ∅,fɒrɒɡ∅,parɜ,*a>ɒ³ *ɜ>ɒ³
