Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old,Vchanges,Cchanges
száguld,*sȣŋɜ,Ug,,,,saɡuld,*sȣŋɜ,saɡuld∅,saɡuld∅,*sȣŋɜ0∅,*ȣ>a³ *ɜ>u³,*s>s¹ *ŋ>ɡ³ *0>ld³
szár,*sȣrɜ,Ug,,,,sar,*sȣrɜ,sar∅,sar∅,*sȣrɜ,*ȣ>a³ *ɜ>∅²,*s>s¹ *r>r³
titok,*tajɜttɜ,Ug,,,,titok,*tajɜttɜ,titok∅,titok∅,*tajɜttɜ,*a>i³ *ɜ>o³ *ɜ>∅²,*t>t¹ *j>t³ *tt>k³
tál,*talɜ,Ug,,,,tal,*talɜ,tal∅,tal∅,*talɜ,*a>a³ *ɜ>∅²,*t>t¹ *l>l³
tekint,*täkkɜ,Ug,,,,tɛkint,*tækkɜ,tɛkint∅,tɛkint∅,*tækkɜ0∅,*æ>ɛ³ *ɜ>i³,*t>t¹ *kk>k³ *0>nt³
tegëz,*täŋɜtɜ,Ug,,,,tɛɡez,*tæŋɜtɜ,tɛɡez∅,tɛɡez∅,*tæŋɜtɜ,*æ>ɛ³ *ɜ>e³ *ɜ>∅²,*t>t¹ *ŋ>ɡ³ *t>z³
tér,*tärɜ,Ug,,,,ter,*tærɜ,ter∅,ter∅,*tærɜ,*æ>e³ *ɜ>∅²,*t>t¹ *r>r³
téved,*tepɜ,Ug,,,,tevɛd,*tepɜ,tevɛd∅,tevɛd∅,*tepɜ0∅,*e>e³ *ɜ>ɛ³,*t>t¹ *p>v³ *0>d³
táltos,*tultɜ,Ug,,,,taltoʃ,*tultɜ,taltoʃ∅,taltoʃ∅,*tultɜ0∅,*u>a³ *ɜ>o³,*t>t¹ *lt>lt³ *0>ʃ³
torok,*turɜ,Ug,,,,torok,*turɜ,torok∅,torok∅,*turɜ0∅,*u>o³ *ɜ>o³,*t>t¹ *r>r³ *0>k³
tűz,*tüγɜtɜ,Ug,,,", tüwɜ-tɜ",tyz,*tyɣɜtɜ,tyz∅,tyz∅0∅,*tyɣɜtɜ,*y>y³ *ɜ>∅³ *ɜ>∅²,*t>t¹ *ɣ>z³ *t>0³
domb,*tȣmpɜ,Ug,,,,domb,*tȣmpɜ,domb∅,domb∅,*tȣmpɜ,*ȣ>o³ *ɜ>∅²,*t>d¹ *mp>mb³
dob,*tȣmpɜ,Ug,,,,dob,*tȣmpɜ,dob∅,dob∅,*tȣmpɜ,*ȣ>o³ *ɜ>∅²,*t>d¹ *mp>b³
vár,*warɜ,Ug,,,,var,*βarɜ,var∅,var∅,*βarɜ,*a>a³ *ɜ>∅²,*β>v¹ *r>r³
vese,*w¨ćɜ,Ug,,,,vɛʃɛ,*β¨t͡ʃʲɜ,vɛʃɛ,vɛʃɛ,*β¨t͡ʃʲɜ,*¨>ɛ³ *ɜ>ɛ²,*β>v¹ *t͡ʃʲ>ʃ³
ajtó,*ȣjɜ,Ug,,,,ɒjto,*ȣjɜ,ɒjto,0ɒjto,*0ȣjɜ,*ȣ>ɒ¹ *ɜ>o²,*0>0¹ *j>jt³
