Lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,link,ipa,subst1_kw_hw_iw
aftaurnan,V.,abreißen,"tear off, be torn off, become torn off",https://koeblergerhard.de/wikiling/?f=got&page=5,aftɔrnan,aftɔrnan
aftiuhan,V.,"wegziehen, abziehen, fortziehen","draw off away, pull away, lead away",https://koeblergerhard.de/wikiling/?f=got&page=5,aftɪuhan,aftɪwhan
aftra,Adv.,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more",https://koeblergerhard.de/wikiling/?f=got&page=5,aftra,aftra
aftraanastodeins,F.,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?f=got&page=5,aftraanastodins,aftraanastodins
aftragasatjan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=5,aftraɡasatjan,aftraɡasatjan
aftuma,"Adj., Adj.","letzte, hintere","aftermost, hindmost, last of two parties",https://koeblergerhard.de/wikiling/?f=got&page=5,aftuma,aftuma
aftumists,"Adj., Adj.",letzte,"endmost, final (Adj.), the very last",https://koeblergerhard.de/wikiling/?f=got&page=6,aftumɪsts,aftumɪsts
afþaursiþs,"V., Adj.",,,https://koeblergerhard.de/wikiling/?f=got&page=6,afθɔrsɪθs,afθɔrsɪθs
afþaursjan,V.,"dursten, verdursten, durstig sein (V.)","dessicate, afflict with thirst",https://koeblergerhard.de/wikiling/?f=got&page=6,afθɔrsjan,afθɔrsjan
afþliuhan,V.,"wegfliehen, fliehen","flee off, run away in flight, escape (V.)",https://koeblergerhard.de/wikiling/?f=got&page=6,afθlɪuhan,afθlɪwhan
afþwahan,V.,"sich abwaschen, waschen, sich waschen","lave off, wash off, wash o.s. off",https://koeblergerhard.de/wikiling/?f=got&page=6,afθwahan,afθwahan
afurdags,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=6,afurdaɡs,afurdaɡs
afwagjan,V.,"bewegen, abbringen","make fluctuate away from, make waver away from, remove (V.)",https://koeblergerhard.de/wikiling/?f=got&page=6,afwaɡjan,afwaɡjan
afwairpan,V.,"etwas wegwerfen, weichen (= Pass.), weggenommen werden (= Pass.), fortwerfen","cast aside, throw off",https://koeblergerhard.de/wikiling/?f=got&page=6,afwɛrpan,afwɛrpan
afwalwjan,V.,wegwälzen,"remove by rolling, roll away",https://koeblergerhard.de/wikiling/?f=got&page=6,afwalwjan,afwalwjan
afwandjan,V.,"abwenden, vermeiden","turn aside, make turn away from",https://koeblergerhard.de/wikiling/?f=got&page=6,afwandjan,afwandjan
agan,V.,sich fürchten,be afraid of,https://koeblergerhard.de/wikiling/?f=got&page=6,aɡan,aɡan
agands,"V., Adj.",furchtsam,fearful,https://koeblergerhard.de/wikiling/?f=got&page=6,aɡands,aɡands
agatja,F.,Elster,magpie,https://koeblergerhard.de/wikiling/?f=got&page=6,aɡatja,aɡatja
agei,F.,"Furchtsamkeit, Ängstlichkeit",timidity,https://koeblergerhard.de/wikiling/?f=got&page=6,aɡi,aɡi
agga,M.,Enge,narrowness,https://koeblergerhard.de/wikiling/?f=got&page=6,aɡɡa,aɡɡa
aggils,M.,Angel (M.),Angle,https://koeblergerhard.de/wikiling/?f=got&page=6,aɡɡɪls,aɡɡɪls
aggilus,M.,"Engel, Bote",angel,https://koeblergerhard.de/wikiling/?f=got&page=6,aɡɡɪlus,aɡɡɪlus
aggwei,F.,"Enge, Einschränkung","narrowness, restriction",https://koeblergerhard.de/wikiling/?f=got&page=6,aɡɡwi,aɡɡwi
aggweins,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=6,aɡɡwins,aɡɡwins
aggwiþa,F.,"„Enge“, Bedrängnis","affliction, trouble (N.), plight, anxiety, distress (N.)",https://koeblergerhard.de/wikiling/?f=got&page=6,aɡɡwɪθa,aɡɡwɪθa
aggwjan,V.,"bedrängen, beengen, engen","constrain (V.), cramp completely",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡɡwjan,aɡɡwjan
aggwus,Adj.,eng,narrow (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=7,aɡɡwus,aɡɡwus
agi,F.,"Schärfe, Ecke, Spitze, Schneide, Schwert","blade, edge (V.), point (N.), sharpness, sword",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡɪ,aɡɪ
agis,N.,"Furcht, Schrecken","awe (N.), fear (N.), fright, terror (N.)",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡɪs,aɡɪs
agja,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=7,aɡja,aɡja
agjan,V.,"ängstigen, sich fürchten","frighten, worry (V.)",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡjan,aɡjan
agkja,F.,"Bein, Röhre","leg, pipe (N.), tube",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡkja,aɡkja
aglaitei,F.,"Unzucht, Unschicklichkeit, Unkeuschheit","licentiousness, debauchery",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlɛti,aɡlɛti
aglaiteis,Adj.,"schändlich, unzüchtig","lewd, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlɛtis,aɡlɛtis
aglaitgastalds,Adj.,"schmutzig gewinnsüchtig, habsüchtig","acquisitive, grasping, shamefully greedy",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlɛtɡastalds,aɡlɛtɡastalds
aglaiti,N.,"Unzucht, Unschicklichkeit, Unkeuschheit","debauchery, licentiousness, dissipation",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlɛtɪ,aɡlɛtɪ
aglaitiwaurdei,F.,"Schandrede, unzüchtiges Reden","obscene language, foul language, shameful speech, filthy talk",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlɛtɪwɔrdi,aɡlɛtɪwɔrdi
aglaitiwaurds,Adj.,"verleumderisch, schändlich",verbally obscene,https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlɛtɪwɔrds,aɡlɛtɪwɔrds
aglaits,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlɛts,aɡlɛts
agliþa,F.,"Drangsal, Trübsal","pressure, trial, tribulation, trouble (N.)",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlɪθa,aɡlɪθa
agljan,V.,"schaden, belästigen","harm (V.), injure the health, be physically harmful to, be physiologically injur>>>",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡljan,aɡljan
aglo,F.,Drangsal,"affliction, painfulness, tribulation",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlo,aɡlo
agls,Adj.,schimpflich,"disgraceful, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡls,aɡls
agluba,Adv.,"schwer, schwerlich","arduously, with unpleasant difficulty",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡluba,aɡluba
aglus,Adj.,schwierig,"difficult, toilsome",https://koeblergerhard.de/wikiling/?f=got&page=7,aɡlus,aɡlus
agra,Adj.,"scharf, spitz","pointed (Adj.), sharp",https://koeblergerhard.de/wikiling/?f=got&page=8,aɡra,aɡra
ags,Adj.,"furchtsam, ängstlich","fearful, timid",https://koeblergerhard.de/wikiling/?f=got&page=8,aɡs,aɡs
aha,M.,"Sinn, Verstand","mental faculty, mind (N.), understanding, reason (N.), source of thought",https://koeblergerhard.de/wikiling/?f=got&page=8,aha,aha
ahaks,F.,"zahme weiße Taube (= Opfertaube), Taube","dove, tame white dove, pigeon (for sacrifice)",https://koeblergerhard.de/wikiling/?f=got&page=8,ahaks,ahaks
ahana,"F., N.",Spreu,chaff,https://koeblergerhard.de/wikiling/?f=got&page=8,ahana,ahana
ahei,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=8,ahi,ahi
ahjan,V.,meinen,"assume, presume, think",https://koeblergerhard.de/wikiling/?f=got&page=8,ahjan,ahjan
ahma,M.,Geist,spirit,https://koeblergerhard.de/wikiling/?f=got&page=8,ahma,ahma
ahmateins,F.,"Eingebung, Inspiration",inspiration,https://koeblergerhard.de/wikiling/?f=got&page=8,ahmatins,ahmatins
ahmatjan,V.,eingeben,inspire,https://koeblergerhard.de/wikiling/?f=got&page=8,ahmatjan,ahmatjan
ahmeins,Adj.,"geistig, geistlich",spiritual (Adj.),https://koeblergerhard.de/wikiling/?f=got&page=8,ahmins,ahmins
ahs,N.,Ähre,ear of grain,https://koeblergerhard.de/wikiling/?f=got&page=8,ahs,ahs
ahs,Adj.,"verständig, besonnen (Adj.)","sensible, level-headed",https://koeblergerhard.de/wikiling/?f=got&page=8,ahs,ahs
ahsa,F.,"Achse, Achsel, a-Rune?","axis, axle, name of a-rune?",https://koeblergerhard.de/wikiling/?f=got&page=8,ahsa,ahsa
ahtau,Num.,acht,eight,https://koeblergerhard.de/wikiling/?f=got&page=8,ahtɔ,ahtɔ
ahtaudogs,Adj.,achttägig,"of eight days, lasting eight days, octo-diurnal",https://koeblergerhard.de/wikiling/?f=got&page=8,ahtɔdoɡs,ahtɔdoɡs
ahtautaihun,Num.,achtzehn,eighteen,https://koeblergerhard.de/wikiling/?f=got&page=8,ahtɔtɛhun,ahtɔtɛhun
ahtautehund,Num.,achtzig,eighty,https://koeblergerhard.de/wikiling/?f=got&page=8,ahtɔtehund,ahtɔtehund
ahtuda,Adj.,achte,eighth,https://koeblergerhard.de/wikiling/?f=got&page=8,ahtuda,ahtuda
aƕa,F.,"Fluss, Gewässer","flowing body of water, river, stream (N.), torrent",https://koeblergerhard.de/wikiling/?f=got&page=8,ahʷa,ahwa
aibr,N.,,,https://koeblergerhard.de/wikiling/?f=got&page=9,ɛbr,ɛbr
