"word","time","question","origin"
"állítmány","from_1751_1800","0","InternalDevelopment_Formed_Derivation"
"állítólag","from_1801_1850","0","InternalDevelopment_Formed_FixParadigm"
"állkapocs","from_1801_1850","0","InternalDevelopment_Formed_Compound"
"állomány","from_1751_1800","0","InternalDevelopment_Formed_Derivation"
"állomás","from_1801_1850","0","InternalDevelopment_LoanTranslation_Latin_Derivation"
"allur","from_1851_1900","0","NewLatin_French"
"alma","from_1001_1050","0","Turkic_Before895_inGeneral"
"almanach","from_1601_1650","0","Wanderwort"
"almárium","from_1501_1550","0","Latin_inGeneral"
"álmélkodik","from_1401_1500","0","InternalDevelopment_Created_Onomatopoetic"
"álnok","from_1201_1250","?","InternalDevelopment_Formed_Derivation"
"áloé","from_1401_1500","0","Latin_inGeneral"
"alom","from_1501_1550","0","Ancient_Ugric"
"álom","from_1051_1100","0","Ancient_Finno_Ugric"
"álomszuszék","from_1701_1750","0","InternalDevelopment_Formed_Compound"
"alpakka","from_1851_1900","0","Germanic_inGeneral"
"alpári","from_1751_1800","0","InternalDevelopment_Formed_Derivation"
"alperes","from_1551_1600","0","InternalDevelopment_Formed_Compound"
"alsó","from_1251_1300","0","InternalDevelopment_Formed_Derivation"
"alszik","from_1251_1300","0","Ancient_Finno_Ugric"
"alt","from_1801_1850","0","Germanic_inGeneral"
"által","from_1251_1300","0","InternalDevelopment_Formed_FixParadigm"
"általveto","from_1651_1700","0","InternalDevelopment_Formed_ShiftofWordType"
"altiszt","from_1751_1800","0","InternalDevelopment_LoanTranslation_German_MirrorTranslation"
"alumínium","from_1801_1850","0","Internationalisms"
"alvad","from_1801_1850","0","InternalDevelopment_Formed_Derivation"
"ám","from_1401_1500","?","InternalDevelopment_Formed_Derivation"
"amator","from_1801_1850","0","NewLatin_French"
"amaz","from_1401_1500","0","InternalDevelopment_Formed_Compound"
"amazon","from_1551_1600","0","Latin_inGeneral"
"ámbár","from_1501_1550","0","InternalDevelopment_Formed_Compound"
"ambíció","from_1551_1600","0","Latin_inGeneral"
"ámbitus","from_1501_1550","0","Latin_inGeneral"
"ámbra","from_1551_1600","0","Wanderwort"
"ambrózia","from_1651_1700","0","Latin_inGeneral"
"ámen","from_1201_1250","0","Latin_inGeneral"
"ametiszt","from_1501_1550","0","Wanderwort"
