"word","time"
"légy","from_1101_1150"
"síp","from_1101_1150"
"vám","from_1101_1150"
"szín2","from_1101_1150"
"-más/-més","from_1101_1150"
"-s2","from_1101_1150"
"asszony","from_1101_1150"
"hó2","from_1151_1200"
"csuka","from_1151_1200"
"túr2","from_1151_1200"
"túró","from_1151_1200"
"folt","from_1151_1200"
"tenger","from_1151_1200"
"árva","from_1151_1200"
"féreg","from_1151_1200"
"jegy","from_1151_1200"
"jelen","from_1151_1200"
"görög2","from_1151_1200"
"kemence","from_1151_1200"
"jég","from_1151_1200"
"fos","from_1151_1200"
"barát","from_1151_1200"
"szent","from_1151_1200"
"nevel","from_1151_1200"
"palást","from_1151_1200"
"szék","from_1151_1200"
"mál","from_1151_1200"
"tar","from_1151_1200"
"kérd","from_1151_1200"
"gyöngy","from_1151_1200"
"izsóp","from_1151_1200"
"kölyök","from_1151_1200"
"csüd","from_1151_1200"
"vödör","from_1151_1200"
"csal","from_1151_1200"
"mordály","from_1151_1200"
"smaragd","from_1151_1200"
"tál","from_1151_1200"
"zúg","from_1151_1200"
"mulya","from_1151_1200"
"-g1 (-og/-eg-/ög)","from_1151_1200"
"polc","from_1151_1200"
"ellik","from_1151_1200"
"gazda","from_1151_1200"
"harag","from_1151_1200"
"akna","from_1151_1200"
"nép","from_1151_1200"
"szilva","from_1151_1200"
"ösztövér","from_1151_1200"
"püspök","from_1151_1200"
"szerda","from_1151_1200"
"új","from_1151_1200"
"eper","from_1151_1200"
"apát","from_1151_1200"
"atya","from_1151_1200"
"mu","from_1151_1200"
"anya","from_1151_1200"
"bojt","from_1151_1200"
"böjt","from_1151_1200"
"fúr","from_1151_1200"
"széles","from_1151_1200"
"szucs","from_1151_1200"
"csap2","from_1151_1200"
"hajó","from_1151_1200"
"rózsa","from_1151_1200"
"forr","from_1151_1200"
"tatár","from_1151_1200"
"konc","from_1151_1200"
"szoke","from_1151_1200"
"rekettye","from_1151_1200"
"segéd","from_1151_1200"
"mester","from_1151_1200"
"ökör","from_1151_1200"
"sebes","from_1151_1200"
"tyúk","from_1151_1200"
"bíbor","from_1151_1200"
"tölgy","from_1151_1200"
"len","from_1151_1200"
"vár1","from_1151_1200"
"kökény","from_1151_1200"
"kebel","from_1151_1200"
"ól","from_1151_1200"
"kender","from_1151_1200"
"rév","from_1151_1200"
"bodza","from_1151_1200"
"közép","from_1151_1200"
"lassú","from_1151_1200"
"csosz","from_1151_1200"
"haszon","from_1151_1200"
"liba","from_1151_1200"
"boldog","from_1151_1200"
"int","from_1151_1200"
"harcsa","from_1151_1200"
"rigó","from_1151_1200"
"boka","from_1151_1200"
"tüdo","from_1151_1200"
"zsold","from_1151_1200"
"csíz","from_1151_1200"
"domború","from_1151_1200"
"koboz2","from_1151_1200"
"ház","from_1151_1200"
"magyal","from_1151_1200"
"tímár","from_1151_1200"
"szurdok","from_1151_1200"
"város","from_1151_1200"
"áld","from_1151_1200"
"egyház","from_1151_1200"
"kel1","from_1151_1200"
"sárkány","from_1151_1200"
"kovács","from_1151_1200"
"agár","from_1151_1200"
"berek","from_1151_1200"
"bivaly","from_1151_1200"
"köböl","from_1151_1200"
"szeder","from_1151_1200"
"üno","from_1151_1200"
"görög1","from_1151_1200"
"konkoly","from_1151_1200"
"csörög","from_1151_1200"
"homorú","from_1151_1200"
"-atag/-eteg","from_1151_1200"
"cser","from_1151_1200"
