got_lemma,Wortart,got_pos,Deutsche Bedeutung,Englische Bedeutung,got_en,link,got_ipa,got_occurences,got_reconstructedness,got_certainty
aflētan,V.,v,"entlassen (V.), fortschicken, aufgeben, eine Schuld erlassen (V.), vergeben (V.)>>>","let off, let go, leave (V.), relinquish, remit, absolve, release (V.), forgive","let_off, let_go, leave, relinquish, remit, absolve, release, forgive",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸletan,53,not reconstructed,certain
aflifnan,V.,v,übrigbleiben,"be left, become left, be left over, remain (V.)","be_left, become_left, be_left_over, remain",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlɪɸnan,8,form,certain
aflinnan,V.,v,"weggehen, fortgehen","leave off, go away, cease from, let up","leave_off, go_away, cease_from, let_up",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸlɪnnan,1,form,certain
afmaitan,V.,v,"abhauen, abschneiden","cut off, sever, amputate, chop off, behead","cut_off, sever, amputate, chop_off, behead",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmaɪtan,8,form,certain
afmarzeins,F.,n,Betrug,"deception, deceitfulness, delusive seduction","deception, deceitfulness, delusive_seduction",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmarzins,2,not reconstructed,certain
afmarzjan,V.,v,"Ärgernis nehmen (= Pass.), sich ärgern","make deviate by obstructing, snare astray, thwart by deflecting, take offence","make_deviate_by_obstructing, snare_astray, thwart_by_deflecting, take_offence",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmarzjan,2,form,certain
afmáuiþs,"V., Adj.","n,v,a,r",ermüdet,"weary (Adj.), debilitated, tired out, fatigued","weary, debilitated, tired_out, fatigued",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmauɪθs,21,form,certain
afmáujan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmaujan,,form,certain
afmōjan,V.,v,ermüden,"tire out, fatigue (V.)","tire_out, fatigue",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmojan,,form,certain
afmaujan,V.,v,ermüden,"tire out, fatigue (V.)","tire_out, fatigue",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸmaujan,,form,certain
afniman,V.,v,"wegnehmen, abnehmen","take away, remove (V.), withdraw","take_away, remove, withdraw",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸnɪman,15,not reconstructed,certain
afqiþan,V.,v,"verzichten auf, entsagen","renounce (V.), foreswear","renounce, foreswear",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸkʷɪθan,1,form,certain
afsateins,F.,n,"Absetzung, Entlassung, Verabschiedung, Scheidung","setting aside (N.), divorce (N.)","setting_aside, divorce",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸsatins,1,form,certain
afsatjan,V.,v,"absetzen, entlassen (V.)","dismiss, remove (V.), put away, set aside, set off, divorce (V.)","dismiss, remove, put_away, set_aside, set_off, divorce",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸsatjan,3,not reconstructed,certain
afskaidan,V.,v,"„abscheiden“, absondern, abtrennen, trennen","separate off, sever, sunder (V.), divide","separate_off, sever, sunder, divide",https://koeblergerhard.de/wikiling/?f=got&page=4,aɸskaɪðan,6,not reconstructed,certain
afskiuban,V.,v,"verstoßen (V.), von sich wegstoßen, abschieben, von sich schieben, entfernen","reject (V.), repulse (V.), shove away, thrust away","reject, repulse, shove_away, thrust_away",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸskɪuβan,2,form,certain
afslahan,V.,v,"abschlagen, abhauen, erschlagen (V.)","hew off, slay, strike dead, strike off, cut off, kill (V.)","hew_off, slay, strike_dead, strike_off, cut_off, kill",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸslahan,54,form,certain
afslaupjan,V.,v,"abstreifen, ablegen","let slide off, make slip off, put off","let_slide_off, make_slip_off, put_off",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸslaupjan,1,form,certain
afslauþjan,V.,v,"in Angst versetzen, in Sorge sein (V.), ängstigen","perturb, frighten, dumbfound (V.), scare (V.), silence off, make speechless","perturb, frighten, dumbfound, scare, silence_off, make_speechless",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸslauθjan,2,form,certain
afslauþnan,V.,v,"erschrecken, sich entsetzen","be amazed, be dumbfounded, become dumbfounded, be silenced off, become silenced >>>","be_amazed, be_dumbfounded, become_dumbfounded, be_silenced_off, become_silenced_",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸslauθnan,3,not reconstructed,certain
afsneiþan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=5,aɸsniθan,,form,certain
afstandan,V.,v,"abstehen, ablassen, abfallen","dissociate o.s., go away, stay away, fall off","dissociate_os, go_away, stay_away, fall_off",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸstandan,7,form,certain
afstass,F.,n,"Abfall, Scheidung","dissociation, separation, divorce (N.)","dissociation, separation, divorce",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸstass,2,not reconstructed,certain
afswaggwjan,V.,v,"schwankend machen?, ängstlich machen","make anxious, make sway away from, cause to waver","make_anxious, make_sway_away_from, cause_to_waver",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸswaŋɡwjan,1,form,certain
afswaírban,V.,v,"abwischen, auslöschen","wipe away, wipe out","wipe_away, wipe_out",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸswɛrban,1,form,certain
afta,Adv.,r,hinten,behind,behind,https://koeblergerhard.de/wikiling/?f=got&page=5,aɸta,1,not reconstructed,certain
aftana,Adv.,r,von hinten,from behind,from_behind,https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtana,1,not reconstructed,certain
aftaraanastōdeins,F.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtaraanastoðins,,form,certain
aftarō,Adv.,r,"von hinten, hinten","in back of, from behind","in_back_of, from_behind",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtaro,3,word,certain
aftaúrnan,V.,v,abreißen,"tear off, be torn off, become torn off","tear_off, be_torn_off, become_torn_off",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtɔrnan,1,form,certain
aftiuhan,V.,v,"wegziehen, abziehen, fortziehen","draw off away, pull away, lead away","draw_off_away, pull_away, lead_away",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtɪuhan,2,not reconstructed,certain
aftra,Adv.,r,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more","again, back, backwards, once_more",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtra,102101,not reconstructed,certain
afta,Adv.,r,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more","again, back, backwards, once_more",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸta,,not reconstructed,certain
aftraanastōdeins,F.,n,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival","regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtraanastoðins,1,form,certain
aftaraanastōdeins,F.,n,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival","regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtaraanastoðins,,form,certain
aftragasatjan,V.,v,,,,https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtraɣasatjan,,word,uncertain
aftuma,"Adj., Adj.","n,v,a,r","letzte, hintere","aftermost, hindmost, last of two parties","aftermost, hindmost, last_of_two_parties",https://koeblergerhard.de/wikiling/?f=got&page=5,aɸtuma,1,form,certain
aftumists,"Adj., Adj.","n,v,a,r",letzte,"endmost, final (Adj.), the very last","endmost, final, the_very_last",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸtumɪsts,5,not reconstructed,certain
afþaúrsiþs,"V., Adj.","n,v,a,r",,,,https://koeblergerhard.de/wikiling/?f=got&page=6,aɸθɔrsɪθs,,not reconstructed,certain
afþaúrsjan,V.,v,"dursten, verdursten, durstig sein (V.)","dessicate, afflict with thirst","dessicate, afflict_with_thirst",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸθɔrsjan,2,form,certain
afþliuhan,V.,v,"wegfliehen, fliehen","flee off, run away in flight, escape (V.)","flee_off, run_away_in_flight, escape",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸθlɪuhan,1,form,certain
afþwahan,V.,v,"sich abwaschen, waschen, sich waschen","lave off, wash off, wash o.s. off","lave_off, wash_off, wash_os_off",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸθwahan,3,not reconstructed,certain
afurdags,M.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=6,aɸurdaɣs,,form,certain
afwagjan,V.,v,"bewegen, abbringen","make fluctuate away from, make waver away from, remove (V.)","make_fluctuate_away_from, make_waver_away_from, remove",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸwaɣjan,1,form,certain
afwaírpan,V.,v,"etwas wegwerfen, weichen (= Pass.), weggenommen werden (= Pass.), fortwerfen","cast aside, throw off","cast_aside, throw_off",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸwɛrpan,4,not reconstructed,certain
