New_orth,Old_orth,Lan,H_xtra,o_extra,o_extra2,Old,New
fa,puwɜ,U,,,,puwɜ,fɒ
fúj,puwɜ,U,,(puγɜ-),,puwɜ,fuːj
fúl,puwɜ,FU,,(puŋɜ-),,puwɜ,fuːl
fágy,pȣčɜ,FU,,,,pȣt͡ʃɜ,faːɟ
fú,pȣjɜ,U,,,,pȣjɜ,fuː
fing,pȣnɜ,U,,,,pȣnɜ,finɡ
forog,pȣrkɜ,FU,,(pȣrγɜ-),,pȣrkɜ,foroɡ
fáz,pȣtɜ,Ug,,,,pȣtɜ,faːz
fejsze,pȣ̈jćɜ,U,,,,p¨jt͡ʃʲɜ,fɛjsɛ
fenyő,pȣ̈nɜ,FU,,,,p¨nɜ,fɛɲøː
rés,raćɜ,FU,,,,rɑt͡ʃʲɜ,reːʃ
rokon,rakka,FU,,,,rɑkkɑ,rokon
rész,räćɜ,FU,,,,ræt͡ʃʲɜ,reːs
rejt,reŋɜ,Ug,,(rekɜ),,reŋɜ,rɛjt
ravasz,repä,FU,,(repä-ćɜ),,repæ,rɒvɒs
ró,rokɜ,FU,,"(roγɜ-, rowɜ-)",", rowɜ-)",rokɜ,roː
áll,salkɜ,FU,,,,sɑlkɜ,aːll
év,säje,U,,,,sæje,eːv
ell,säle,U,,(sälke-),,sæle,ɛll
ég,säŋe,FU,,,,sæŋe,eːɡ
epe,säppä,FU,,,,sæppæ,ɛpɛ
ér,särɜ,FU,,,,særɜ,eːr
őn,säwnä,FU,,,,sæwnæ,øːn
ëv,sewe,FU,,(seγe-),,sewe,ev
ín,sɤne,U,,(sōne),,sɤne,iːn
ősz,sikśe,FU,,(sükśe),,sikʃʲe,øːs
öl,sile,FU,,(süle),,sile,øl
ujj,soja,U,,,,sojɑ,ujj
avat,soŋe,U,,,,soŋe,ɒvɒt
agg,soŋkɜ,FU,,(soŋɜ),,soŋkɜ,ɒɡɡ
arasz,sorɜ,FU,,,", sorɜ-śɜ",sorɜ,ɒrɒs
ujj,suδ̕ɜ,U,,,,suðʲɜ,ujj
olvad,sula,FU,,,,sulɑ,olvɒd
ő,sȣ̈,FU,,,,s¨,øː
szaka,śakkɜ,Ug,éjszaka,(śukkɜ),,ʃʲɑkkɜ,sɒkɒ
szil,śala,FU,,,,ʃʲɑlɑ,sil
szilánk,śale,FU,,,,ʃʲɑle,silaːnk
szál,śalkɜ,FU,,,,ʃʲɑlkɜ,saːl
szalag,śalɜ,U,,"(śaδa), salɜ",", salɜ",ʃʲɑlɜ,sɒlɒɡ
száldok,śaĺɜ,Ug,,,,ʃʲɑlʲɜ,saːldok
szürügy,śarɜ,U,,,,ʃʲɑrɜ,syryɟ
szar,śarɜ,FU,,(ćarɜ),,ʃʲɑrɜ,sɒr
szárad,śarɜ,FU,,,,ʃʲɑrɜ,saːrɒd
száz,śata,FU,,,,ʃʲɑtɑ,saːz
szel,śälä,FU,,(ćälä-),,ʃʲælæ,sɛl
sző,śäŋe,FU, ~ szöv,,,ʃʲæŋe,søː
segg,śäŋkɜ,FU,,,,ʃʲæŋkɜ,ʃɛɡɡ
szër,śerɜ,U,,,,ʃʲerɜ,ser
szív,śiδä,U,,"(śiδä-mɜ), śüδä, śüδä-mɜ",", śüδä, śüδä-mɜ",ʃʲiðæ,siːv
sün,śijele,FU,,,,ʃʲijele,ʃyn
szëm,śilmä,U,,,,ʃʲilmæ,sem
zaj,śoje,FU,,,,ʃʲoje,zɒj
szomjú,śomɜ,FU,,,,ʃʲomɜ,somjuː
szarv,śorwa,FU,,,,ʃʲorwɑ,sɒrv
szorul,śorɜ,FU,,,,ʃʲorɜ,sorul
szúr,śurwa,FU,,,,ʃʲurwɑ,suːr
szurok,śurɜ,FU,,,,ʃʲurɜ,surok
száj,śuwe,U,,,,ʃʲuwe,saːj
ér,šärɜ,FU,,,,ʃærɜ,eːr
ér,šerɜ,FU,,(šärɜ),,ʃerɜ,eːr
egér,šiŋere,FU,,,,ʃiŋere,ɛɡeːr
apad,šoppɜ,FU,,(šappɜ-),,ʃoppɜ,ɒpɒd
irt,šurɜ,U,,,,ʃurɜ,irt
tapod,tappa,U,,,,tɑppɑ,tɒpod
daru,tarɜkɜ,FU,,(tarkɜ),,tɑrɜkɜ,dɒru
té,tä,U,: tétova,,", te, ti",tæ,teː
tetű,täje,FU,,,,tæje,tɛtyː
tél,tälwä,FU,,,,tælwæ,teːl
tele,täwδe,FU,,(tälkɜ),,tæwðe,tɛlɛ
tüdő,täwe,U,,,,tæwe,tydøː
tëv,teke,FU," (të, tësz)",,,teke,tev
tűz,tekɜ,FU,,,,tekɜ,tyːz
töm,temɜ,FU,,,,temɜ,tøm
több,teppɜ,FU,,,,teppɜ,tøbb
tőr,terä,FU,,,,teræ,tøːr
tér,terɜ,FU,,,,terɜ,teːr
tő,tiŋe,FU,,(tüŋe),,tiŋe,tøː
tova,to,U,,,,to,tovɒ
tat,totke,U, : tathal,,,totke,tɒt
tavasz,towkɜ,FU,,,,towkɜ,tɒvɒs
tó,towɜ,U,,,,towɜ,toː
tőgy,tuδ̕ka,FU,,,", tuδ̕ka-mɜ",tuðʲkɑ,tøːɟ
