Target,Source,fp
poatikanitaina,fɔːtkɒnstantiːn,
poatukera,pɔːt͡ʃəɡəl,
pohakena,pɔːtd͡ʒaksən,334.0
pohemia,bəʊhiːmiə,289.0
pohena,pəʊzən,28.0
poheripi,pɔːtfɪlɪp,
pohiriuma,pəsɪdiəm,
poiahakena,pɔːtd͡ʒaksən,
poianawuru,pɔɪntʌndəwʊd,
poihakena,pɔːtd͡ʒaksən,
poihakena,pɔːtd͡ʒaksən,
poihakene,pɔːtd͡ʒaksən,
poihiripi,pɔːtfɪlɪp,
poipiripi,pɔːtfɪlɪp,2692.0
pokupa,pɔːtkuːpə,2.0
pomapei,bɒmbeɪ,0.0
pomopei,bɒmbeɪ,
poneke,pɔːtnɪkəlsən,
ponio,bɔːnɪəʊ,333.0
pope,pɒmpi,333.0
pora,pɔːlə,0.0
porana,pəʊlənd,26.0
poranihia,pɒlɪniːziə,
porapora,bɔːɹəbɔːɹə,0.0
porere,flɔːɹɪz,
portjakson,pɔːtd͡ʒaksən,
potahea,fɔːtheə,0.0
potamare,fɔːtmʌɹeɪ,2500.0
potaritifi,fɔːt,
potariwi,pɔːtlɛvi,2.0
potikupa,pɔːtkuːpə,8.0
potimaute,pɔːtsməθ,
potiriwi,pɔːtlɛvi,10.0
potukara,pɔːt͡ʃəɡəl,
potukari,pɔːt͡ʃəɡəl,
potufaraihi,fɔːtfɔːdaɪs,
pouhakena,pɔːtd͡ʒaksən,
pouhakene,pɔːtd͡ʒaksən,
pofata,bəʊfɔːt,28.0
pofatu,bəʊfɔːt,
puanama,bɜːnəm,
pukarehi,buːkɐɹɛst,167.0
pukareti,buːkɐɹɛst,1.0
pukearapata,ɛmtiːalbət,
pukeparaki,baɹəkhɪl,
puŋaupa,pʌnd͡ʒɑːb,
pura,bʊlə,18.0
puruhia,pɹʌʃə,
purukari,bʌlɡeəɹiə,
putuna,fjuːtuːnə,2.0
rahetone,lɔːnsɛstən,
raihapera,laɪseɪbɛlə,
raina,ɹaɪn,0.0
rakahia,laŋkəʃə,417.0
rakanau,lʌknaʊ,
rakarana,ɹaɡlən,0.0
ranana,lʌndən,4.0
raŋitone,laftən,
raparana,laplənd,
raparini,lʌblɪn,1.0
ratihipona,ɹatɪsbən,
rehini,ɹaɪmz,
renemaka,dɛnmɑːk,
repanona,lɛbənɒn,0.0
reri,lɛliz,19.0
rewapuru,lɪvəpuːl,
riha,lɪsə,0.0
rihena,nɛsən,819.0
riheta,lɛstə,99.0
riheta,lɛstə,99.0
rihipene,lɪsbən,
rihipona,lɪsbən,
rima,liːmɐ,0.0
riŋori,lɪɡjuːɔːɹi,
riona,laɪɒn,2.0
rione,laɪɒn,168.0
riria,lɪdiə,8.0
rititina,lɪtɛltən,
rititona,lɪtɛltən,
riwapuru,lɪvəpuːl,
riwipura,lɪvəpuːl,
roha,ɹɒs,0.0
roma,ɹəʊm,18.0
romari,lɒmbədi,1672.0
romopoka,lɒmbɒk,
rona,ɹəʊn,18.0
ronahetana,lɔːnsɛstən,
ronehetana,lɔːnsɛstən,
rooma,ɹəʊm,28.0
roterama,ɹɒtədam,
rotoni,ɹɒdni,
rouati,lɜːdz,
ruhia,ɹʌʃə,97.0
ruiha,ɹʌʃə,59.0
samurna,smaɪənə,
serapi,sɛɹapiz,
sona,seɪɒn,576.0
tahaiti,tahiːti,518.0
tahamenia,tazmeɪniə,
tahimania,tazmeɪniə,
tahimenia,tazmeɪniə,
tahina,t͡ʃaɪnə,33.0
tahiti,tahiːti,0.0
taibera,taɪbə,
taikirihi,taɪɡɹɪs,2516.0
taikiriti,taɪɡɹɪs,
taina,t͡ʃaɪnə,0.0
taipera,taɪbə,
taipere,taɪbə,
taiperia,taɪbiəɹɪəz,4.0
taipiria,taɪbiəɹɪəz,2.0
taira,taɪə,0.0
takasta,θaɡast,
takei,tɜːki,169.0
takirihi,taɪɡɹɪs,183.0
tamahi,tɛmz,881.0
tamakuha,dɐmaskəs,
tamania,tazmeɪniə,
tanaitini,dʌnɪdɪn,
tanehia,taŋɡiəz,
tanemaka,dɛnmɑːk,
tanitana,dʌnɪdɪn,
tanite,danzɪk,2759.0
tanitini,dʌnɪdɪn,137.0
taniwaka,danjuːb,
taparini,dʌblɪn,129.0
tapirana,dʌblɪn,654.0
tapirini,dʌblɪn,145.0
tarahu,tɑːsəs,
tarakona,taɹɐɡənə,
taratari,tɑːtɑːɹəs,
tatanera,dɑːdeɪnɛlz,
teharonika,θɛsɐlɒnɪkə,4.0
teirataone,teɪlətaʊn,
tenamaki,dɛnmɑːk,129.0
tenemaka,dɛnmɑːk,
tenemaki,dɛnmɑːk,
tepoa,tabə,1866.0
tepoa,tabə,1866.0
tepotinapier,pɔːtahjʊəɹiəɹi,
terehi,dɛli,
terehi,θɹeɪs,221.0
terenete,tɹɛnt,
terefi,dɛlfaɪ,354.0
terieta,tɹaɪst,1081.0
tetini,tɛtɪn,1.0
tewanapoata,dɛvənpɔːt,
tiamana,d͡ʒɜːməni,
tiamari,d͡ʒɜːməni,
tieni,θɪɛnə,
tikatana,juːkatən,
tikiriha,taɪɡɹɪs,8.0
timoa,tiːmɔː,4.0
tinaharima,tɛnɐsəɹɪm,2.0
tiratewere,tɹastiːviə,5275.0
tiratiraira,tɹastaɪləɹiːnə,
tireni,ziːlənd,152.0
tirkene,dɪlɛd͡ʒən,
tirikiŋi,θɹiːkɪŋz,
tomiŋo,dəʊmɪŋɡəʊ,215.0
torena,tɒɹənz,87.0
toriniti,təʊləntiːnəʊ,
toroha,tuːluːz,
tuhorape,tuːfəʊldbeɪ,
tuponai,tjuːbənaɪ,2338.0
turini,tjəɹɪn,
turino,tjəɹɪn,
turona,tuːlɒn,0.0
turure,dɹʌɹi,
uparati,juːfɹeɪtiːz,
uparatia,juːfɹeɪtiːz,
upatoria,juːpɐtɔːɹiəɹiː,56.0
upurati,juːfɹeɪtiːz,
ura,aʊd,51.0
uropi,jʊəɹəp,413.0
utika,juːtɪkə,0.0
wahaa,wɔːsɔː,96.0
wahitone,wɒʃɪŋtən,
waiti,waɪt,1.0
wanahi,swɒnsiː,
wanatiemana,vanəʊaɪmɛnz,
wanatimana,vanəʊaɪmɛnz,
wapuwiniata,wɪnjɑːdpiə,
wara,weɪlz,609.0
warakia,wɒleɪʃə,
